frameIndex,coordinates
4195,"[(846.8900769223774, 449.023020044845), (893.2322033277096, 446.542606777539), (1478.1291813513396, 646.48771251977)]"
5094,"[(695.7004269107169, 412.912054020865), (1155.824190654044, 389.8029610797193), (1794.5714240013413, 535.320920401984), (714.4092875389535, 353.54507915834404), (923.6592299172536, 297.80030830870487)]"
16783,"[(1370.684762284391, 596.3880850536721), (1050.3348493929368, 425.154723088112)]"
21398,"[(944.4275393140092, 460.184393916133), (894.5061984159782, 389.525833268107), (1469.2671052956607, 579.7878778979559), (930.7570603784208, 297.14785144645543)]"
38841,"[(938.885881526926, 306.1795197769976), (917.8173676049672, 373.687879361756), (1698.2083557129192, 562.437294396556), (1199.9691229505954, 423.599859401012)]"
44955,"[(582.8834336677293, 405.452310765497), (1498.033043313931, 819.780844924076), (1742.173945872315, 471.67587106389)]"
47112,"[(864.2079765974753, 397.129542528257), (1020.2661501892792, 439.118517071033), (837.2083969443273, 392.0230599252236), (1389.322291149109, 583.852803490345)]"
60179,"[(1489.8899908863625, 516.962426213442), (1767.3352858565695, 468.072240253277)]"
66113,"[(923.5228860393884, 409.766902528902), (768.872163747916, 462.1443761781)]"
72587,"[(941.0015761227208, 527.4244337938201), (904.2438587641354, 513.71486927536), (1094.373015966378, 452.67345143617), (1683.5615274307934, 672.967081475878)]"
73606,"[(1808.5180383492795, 515.961282748421), (1149.6252909927284, 387.0457505240849), (912.6690510089368, 375.1121567730636), (916.2689248916712, 300.904843503856)]"
79300,"[(588.5413021853398, 426.531593017963), (1318.932792855177, 453.65892681497405), (1589.1313634245244, 774.889139454564), (1517.4023763805335, 390.7994330172679)]"
84395,"[(1447.7930120876454, 442.59134396556), (819.29423685758, 401.54589431784495), (838.2092332846772, 386.94085259573), (1731.5737116933146, 431.246508608136)]"
90989,"[(377.5301665267811, 417.37408923828303), (367.1151930473554, 437.678968725556), (1441.2718632569856, 596.104623093066), (776.3351440429692, 401.673168945312), (789.4175038493984, 379.9321592322073)]"
